"","Order","Family","Tissue_Type","Country","n","Mean","CV","Year_Range","Range"
"94","Passeriformes","Furnariidae (Ovenbirds and Woodcreepers)","Body_Hg_ppm","Belize",66,"3.591 ± 5.359",149.227,"2018—2023","0.229—28.494"
"95","Passeriformes","Furnariidae (Ovenbirds and Woodcreepers)","Body_Hg_ppm","Colombia",66,"3.591 ± 5.359",149.227,"2018—2023","0.229—28.494"
"96","Passeriformes","Furnariidae (Ovenbirds and Woodcreepers)","Body_Hg_ppm","Peru",66,"3.591 ± 5.359",149.227,"2018—2023","0.229—28.494"
"97","Passeriformes","Furnariidae (Ovenbirds and Woodcreepers)","Tail_Hg_ppm","Belize",63,"1.447 ± 0.997",68.906,"2007—2021","0.245—4.641"
"98","Passeriformes","Furnariidae (Ovenbirds and Woodcreepers)","Tail_Hg_ppm","Costa Rica",63,"1.447 ± 0.997",68.906,"2007—2021","0.245—4.641"
"99","Passeriformes","Furnariidae (Ovenbirds and Woodcreepers)","Tail_Hg_ppm","Nicaragua",63,"1.447 ± 0.997",68.906,"2007—2021","0.245—4.641"
"100","Passeriformes","Furnariidae (Ovenbirds and Woodcreepers)","Tail_Hg_ppm","Panama",63,"1.447 ± 0.997",68.906,"2007—2021","0.245—4.641"
"101","Passeriformes","Furnariidae (Ovenbirds and Woodcreepers)","Tail_Hg_ppm","Peru",63,"1.447 ± 0.997",68.906,"2007—2021","0.245—4.641"
"102","Passeriformes","Hirundinidae (Swallows)","Blood_Hg_ppm","Belize",7,"0.107 ± 0.136",127.521,"2008—2023","0.004—0.361"
"103","Passeriformes","Hirundinidae (Swallows)","Blood_Hg_ppm","Colombia",7,"0.107 ± 0.136",127.521,"2008—2023","0.004—0.361"
"104","Passeriformes","Hirundinidae (Swallows)","Blood_Hg_ppm","Nicaragua",7,"0.107 ± 0.136",127.521,"2008—2023","0.004—0.361"
"105","Passeriformes","Hirundinidae (Swallows)","Body_Hg_ppm","Colombia",4,"4.37 ± 1.726",39.488,"2019—2023","2.887—6.774"
"106","Passeriformes","Hirundinidae (Swallows)","Body_Hg_ppm","Peru",4,"4.37 ± 1.726",39.488,"2019—2023","2.887—6.774"
"107","Passeriformes","Icteridae (Troupials and Allies)","Blood_Hg_ppm","Belize",30,"0.054 ± 0.088",163.894,"2007—2021","0.007—0.421"
"108","Passeriformes","Icteridae (Troupials and Allies)","Blood_Hg_ppm","Mexico",30,"0.054 ± 0.088",163.894,"2007—2021","0.007—0.421"
"109","Passeriformes","Icteridae (Troupials and Allies)","Blood_Hg_ppm","Nicaragua",30,"0.054 ± 0.088",163.894,"2007—2021","0.007—0.421"
"110","Passeriformes","Icteridae (Troupials and Allies)","Body_Hg_ppm","Belize",3,"0.409 ± 0.224",54.719,"2021","0.166—0.606"
"111","Passeriformes","Icteridae (Troupials and Allies)","Tail_Hg_ppm","Belize",13,"0.464 ± 0.503",108.457,"2007—2021","0.1—1.654"
"112","Passeriformes","Icteridae (Troupials and Allies)","Tail_Hg_ppm","Nicaragua",13,"0.464 ± 0.503",108.457,"2007—2021","0.1—1.654"
"113","Passeriformes","Icteriidae (Yellow-breasted Chat)","Blood_Hg_ppm","Belize",4,"0.049 ± 0.053",109.078,"2007—2021","0.006—0.12"
"114","Passeriformes","Mimidae (Mockingbirds and Thrashers)","Blood_Hg_ppm","Belize",16,"0.029 ± 0.018",63.08,"2007—2017","0.003—0.053"
"115","Passeriformes","Mimidae (Mockingbirds and Thrashers)","Blood_Hg_ppm","Dominican Republic",16,"0.029 ± 0.018",63.08,"2007—2017","0.003—0.053"
"116","Passeriformes","Mimidae (Mockingbirds and Thrashers)","Blood_Hg_ppm","Puerto Rico",16,"0.029 ± 0.018",63.08,"2007—2017","0.003—0.053"
"117","Passeriformes","Mimidae (Mockingbirds and Thrashers)","Tail_Hg_ppm","Puerto Rico",1,"0.124",NA,"2010","NA"
"118","Passeriformes","Nesospingidae (Puerto Rican Tanager)","Blood_Hg_ppm","Puerto Rico",2,"0.004 ± 0.003",79.838,"2010","0.002—0.006"
"119","Passeriformes","Nesospingidae (Puerto Rican Tanager)","Tail_Hg_ppm","Puerto Rico",2,"0.11 ± 0.05",45.434,"2010","0.075—0.146"
"120","Passeriformes","Oxyruncidae (Sharpbill, Royal Flycatcher, and Allies)","Blood_Hg_ppm","Belize",5,"0.246 ± 0.287",116.651,"2008—2021","0.014—0.662"
"121","Passeriformes","Oxyruncidae (Sharpbill, Royal Flycatcher, and Allies)","Blood_Hg_ppm","Costa Rica",5,"0.246 ± 0.287",116.651,"2008—2021","0.014—0.662"
"122","Passeriformes","Oxyruncidae (Sharpbill, Royal Flycatcher, and Allies)","Body_Hg_ppm","Belize",1,"0.663",NA,"2021","NA"
"123","Passeriformes","Oxyruncidae (Sharpbill, Royal Flycatcher, and Allies)","Tail_Hg_ppm","Belize",3,"0.467 ± 0.234",50.185,"2018—2021","0.331—0.738"
