ORDER,FAMILY,GENUS,SPECIES,NUMB,BAHA,CUBA,HISP,JAMA,PUER,LANT,NANT,MEXI,GUAT,BELI,ELSA,HOND,NICA,COST,PANA,COLO,VENE,TRIN,GUYA,SURI,FREN,ECUA,PERU,BOLI,BRAZ,PARG,URUG,ARGN,CHIL
PASSERIFORMES,FURNARIIDAE,Automolus,dorsalis,1961,,,,,,,,,,,,,,,,X,,,,,,X,X,X,X,,,
PASSERIFORMES,FURNARIIDAE,Automolus,infuscatus,1962,,,,,,,,,,,,,,,,X,X,,X,X,X,X,X,X,X,,,
PASSERIFORMES,FURNARIIDAE,Automolus,leucophthalmus,1963,,,,,,,,,,,,,,,,,,,,,,,,,X,X,,X
PASSERIFORMES,FURNARIIDAE,Automolus,melanopezus,1964,,,,,,,,,,,,,,,,X,,,,,,X,X,X,X,,,
PASSERIFORMES,FURNARIIDAE,Automolus,ochrolaemus,1965,,,,,,,,X,X,X,,X,X,X,X,X,X,,X,X,X,X,X,X,X,,,
PASSERIFORMES,FURNARIIDAE,Automolus,roraimae,1966,,,,,,,,,,,,,,,,,X,,,,,,,,X,,,
PASSERIFORMES,FURNARIIDAE,Automolus,rubiginosus,1967,,,,,,,,X,X,,X,X,X,X,X,X,X,,X,X,X,X,X,X,X,,,
PASSERIFORMES,FURNARIIDAE,Automolus,ruficollis,1968,,,,,,,,,,,,,,,,,,,,,,X,X,,,,,
PASSERIFORMES,FURNARIIDAE,Automolus,rufipileatus,1969,,,,,,,,,,,,,,,,X,X,,X,X,X,X,X,X,X,,,
PASSERIFORMES,FURNARIIDAE,Hylocryptus,erythrocephalus,1970,,,,,,,,,,,,,,,,,,,,,,X,X,,,,,
PASSERIFORMES,FURNARIIDAE,Hylocryptus,rectirostris,1971,,,,,,,,,,,,,,,,,,,,,,,,,X,X,,
PASSERIFORMES,FURNARIIDAE,Cichlocolaptes,leucophrus,1972,,,,,,,,,,,,,,,,,,,,,,,,,XR,,,
PASSERIFORMES,FURNARIIDAE,Heliobletus,contaminatus,1973,,,,,,,,,,,,,,,,,,,,,,,,,X,X,,X
PASSERIFORMES,FURNARIIDAE,Thripadectes,flammulatus,1974,,,,,,,,,,,,,,,,X,X,,,,,X,X,,,,,
PASSERIFORMES,FURNARIIDAE,Thripadectes,holostictus,1975,,,,,,,,,,,,,,,,X,X,,,,,X,X,X,,,,
PASSERIFORMES,FURNARIIDAE,Thripadectes,ignobilis,1976,,,,,,,,,,,,,,,,X,,,,,,X,,,,,,
PASSERIFORMES,FURNARIIDAE,Thripadectes,melanorhynchus,1977,,,,,,,,,,,,,,,,X,,,,,,X,X,,,,,
PASSERIFORMES,FURNARIIDAE,Thripadectes,rufobrunneus,1978,,,,,,,,,,,,,,X,X,,,,,,,,,,,,,
PASSERIFORMES,FURNARIIDAE,Thripadectes,scrutator,1979,,,,,,,,,,,,,,,,,,,,,,,X,X,,,,
PASSERIFORMES,FURNARIIDAE,Thripadectes,virgaticeps,1980,,,,,,,,,,,,,,,,X,X,,,,,X,,,,,,
PASSERIFORMES,FURNARIIDAE,Xenops,milleri,1981,,,,,,,,,,,,,,,,X,X,,,X,X,X,X,SX,X,,,
PASSERIFORMES,FURNARIIDAE,Xenops,minutus,1982,,,,,,,,X,X,X,,X,X,X,X,X,X,,X,X,X,X,X,X,X,X,,X
PASSERIFORMES,FURNARIIDAE,Xenops,rutilans,1983,,,,,,,,,,,,,,X,X,X,X,X,,,,X,X,X,X,X,,X
PASSERIFORMES,FURNARIIDAE,Xenops,tenuirostris,1984,,,,,,,,,,,,,,,,X,X,,,X,X,X,X,X,X,,,,
PASSERIFORMES,FURNARIIDAE,Megaxenops,parnaguae,1985,,,,,,,,,,,,,,,,,,,,,,,,,XR,,,,
PASSERIFORMES,FURNARIIDAE,Pygarrhichas,albogularis,1986,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X
PASSERIFORMES,FURNARIIDAE,Sclerurus,albigularis,1987,,,,,,,,,,,,,,X,X,X,X,X,,,,X,X,X,X?,,,,
PASSERIFORMES,FURNARIIDAE,Sclerurus,caudacutus,1988,,,,,,,,,,,,,,,,X,X,,X,X,X,X,X,X,X,,,,
PASSERIFORMES,FURNARIIDAE,Sclerurus,guatemalensis,1989,,,,,,,,X,X,X,,X,X,X,X,X,,,,,,X,,,,,,,
PASSERIFORMES,FURNARIIDAE,Sclerurus,mexicanus,1990,,,,,,,,X,X,,,X,,X,X,X,X,,X,X,X,X,X,X,X,,,,
PASSERIFORMES,FURNARIIDAE,Sclerurus,rufigularis,1991,,,,,,,,,,,,,,,,X,X,,X,X,X,X,X,X,X,,,,
PASSERIFORMES,FURNARIIDAE,Sclerurus,scansor,1992,,,,,,,,,,,,,,,,,,,,,,,,,X,X,,X,
PASSERIFORMES,FURNARIIDAE,Lochmias,nematura,1993,,,,,,,,,,,,,,,X,X,X,,,,,X,X,X,X,X,X,X,
PASSERIFORMES,FORMICARIIDAE,Cymbilaimus,lineatus,1994,,,,,,,,,,,,X,X,X,X,X,X,,X,X,X,X,X,X,X,,,,
PASSERIFORMES,FORMICARIIDAE,Cymbilaimus,sanctaemariae,1995,,,,,,,,,,,,,,,,,,,,,,,X,X,X,,,,
PASSERIFORMES,FORMICARIIDAE,Hypoedaleus,guttatus,1996,,,,,,,,,,,,,,,,,,,,,,,,,X,X,,X,
PASSERIFORMES,FORMICARIIDAE,Batara,cinerea,1997,,,,,,,,,,,,,,,,,,,,,,,,X,X,X,,X,
PASSERIFORMES,FORMICARIIDAE,Mackenziaena,leachii,1998,,,,,,,,,,,,,,,,,,,,,,,,,X,X,,X,
PASSERIFORMES,FORMICARIIDAE,Mackenziaena,severa,1999,,,,,,,,,,,,,,,,,,,,,,,,,X,X,,X,
PASSERIFORMES,FORMICARIIDAE,Frederickena,unduligera,2000,,,,,,,,,,,,,,,,X,,,,,,X,X,X,X,,,
PASSERIFORMES,FORMICARIIDAE,Frederickena,viridis,2001,,,,,,,,,,,,,,,,,X,,X,X,X,,,,X,,,
PASSERIFORMES,FORMICARIIDAE,Taraba,major,2002,,,,,,,,X,X,X,,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,?,X
PASSERIFORMES,FORMICARIIDAE,Sakesphorus,bernardi,2003,,,,,,,,,,,,,,,,,,,,,,X,X,,,,,
PASSERIFORMES,FORMICARIIDAE,Sakesphorus,canadensis,2004,,,,,,,,,,,,,,,,X,X,X,X,X,X,,X,,X,,,
PASSERIFORMES,FORMICARIIDAE,Sakesphorus,cristatus,2005,,,,,,,,,,,,,,,,,,,,,,,,,XR,,,
PASSERIFORMES,FORMICARIIDAE,Sakesphorus,luctuosus,2006,,,,,,,,,,,,,,,,,,,,,,,,,XR,,,
PASSERIFORMES,FORMICARIIDAE,Sakesphorus,melanonotus,2007,,,,,,,,,,,,,,,,X,X,,,,,,,,,,,
PASSERIFORMES,FORMICARIIDAE,Sakesphorus,melanothorax,2008,,,,,,,,,,,,,,,,,,,,X,X,,,,X,,,
PASSERIFORMES,FORMICARIIDAE,Biatas,nigropectus,2009,,,,,,,,,,,,,,,,,,,,,,,,,X,,,X
PASSERIFORMES,FORMICARIIDAE,Thamnophilus,aethiops,2010,,,,,,,,,,,,,,,,X,X,,,,,X,X,X,X,,,
PASSERIFORMES,FORMICARIIDAE,Thamnophilus,amazonicus,2011,,,,,,,,,,,,,,,,X,X,,X,X,X,X,X,X,X,,,
PASSERIFORMES,FORMICARIIDAE,Thamnophilus,aroyae,2012,,,,,,,,,,,,,,,,,,,,,,,X,X,,,,
PASSERIFORMES,FORMICARIIDAE,Thamnophilus,bridgesi,2013,,,,,,,,,,,,,,X,X,,,,,,,,,,,,,
PASSERIFORMES,FORMICARIIDAE,Thamnophilus,caerulescens,2014,,,,,,,,,,,,,,,,,,,,,,,X,X,X,X,X,X
PASSERIFORMES,FORMICARIIDAE,Thamnophilus,cryptoleucus,2015,,,,,,,,,,,,,,,,X,,,,,,X,X,,X,,,
PASSERIFORMES,FORMICARIIDAE,Thamnophilus,(doliatus) doliatus,2016,,,,,,,,X,X,X,X,X,X,X,X,X,X,X,X,X,X,SX,X,X,X,X,,X
PASSERIFORMES,FORMICARIIDAE,Thamnophilus,(doliatus) zarumae,2017,,,,,,,,,,,,,,,,,,,,,,X,X,,,,,
PASSERIFORMES,FORMICARIIDAE,Thamnophilus,insignis,2018,,,,,,,,,,,,,,,,,X,,,,,,,,X,,,
PASSERIFORMES,FORMICARIIDAE,Thamnophilus,multistriatus,2019,,,,,,,,,,,,,,,,X,X,,,,,,,,,,,
PASSERIFORMES,FORMICARIIDAE,Thamnophilus,murinus,2020,,,,,,,,,,,,,,,,X,X,,X,X,X,X,X,,X,,,
PASSERIFORMES,FORMICARIIDAE,Thamnophilus,nigriceps,2021,,,,,,,,,,,,,,,X,X,,,,,,,,,,,,
PASSERIFORMES,FORMICARIIDAE,Thamnophilus,nigrocinereus,2022,,,,,,,,,,,,,,,,X,X,,,,X,,,,X,,,
PASSERIFORMES,FORMICARIIDAE,Thamnophilus,palliatus,2023,,,,,,,,,,,,,,,,X,,,,,,X,X,X,X,,,
PASSERIFORMES,FORMICARIIDAE,Thamnophilus,praecox,2024,,,,,,,,,,,,,,,,,,,,,,XR,,,,,,
PASSERIFORMES,FORMICARIIDAE,Thamnophilus,punctatus,2025,,,,,,,,,X,X,,X,X,X,X,X,X,,X,X,X,X,X,X,X,,,
PASSERIFORMES,FORMICARIIDAE,Thamnophilus,ruficapillus,2026,,,,,,,,,,,,,,,,,,,,,,,X,X,X,X,X,X
PASSERIFORMES,FORMICARIIDAE,Thamnophilus,schistaceus,2027,,,,,,,,,,,,,,,,X,,,,,,X,X,X,X,,,
PASSERIFORMES,FORMICARIIDAE,Thamnophilus,torquatus,2028,,,,,,,,,,,,,,,,,,,,,,,,X,X,,,
PASSERIFORMES,FORMICARIIDAE,Thamnophilus,unicolor,2029,,,,,,,,,,,,,,,,X,,,,,,X,X,,,,,
PASSERIFORMES,FORMICARIIDAE,Pygiptila,stellaris,2030,,,,,,,,,,,,,,,,X,X,,,X,X,X,X,X,X,,,
PASSERIFORMES,FORMICARIIDAE,Megastictus,margaritatus,2031,,,,,,,,,,,,,,,,X,X,,,,,X,X,,X,,,
PASSERIFORMES,FORMICARIIDAE,Neoctantes,niger,2032,,,,,,,,,,,,,,,,X,,,,,,X,X,,X,,,
PASSERIFORMES,FORMICARIIDAE,Clytoctantes,alixi,2033,,,,,,,,,,,,,,,,X,X,,,,,,,,,,,
PASSERIFORMES,FORMICARIIDAE,Clytoctantes,atrogularis,2034,,,,,,,,,,,,,,,,,,,,,,,,,XR,,,
PASSERIFORMES,FORMICARIIDAE,Xenornis,setifrons,2035,,,,,,,,,,,,,,,X,X,,,,,,,,,,,,
PASSERIFORMES,FORMICARIIDAE,Thamnistes,anabatinus,2036,,,,,,,,X,X,X,,X,X,X,X,X,X,,,,,X,X,X,,,,
PASSERIFORMES,FORMICARIIDAE,Dysithamnus,mentalis,2037,,,,,,,,X,X,X,,X,,X,X,X,X,X,,,,X,X,X,X,X,,X
PASSERIFORMES,FORMICARIIDAE,Dysithamnus,puncticeps,2038,,,,,,,,,,,,,,X,X,X,,,,,,X,,,,,,
PASSERIFORMES,FORMICARIIDAE,Dysithamnus,stictothorax,2039,,,,,,,,,,,,,,,,,,,,,,,,,X,,,X
PASSERIFORMES,FORMICARIIDAE,Dysithamnus,striaticeps,2040,,,,,,,,,,,,X,X,X,,,,,,,,,,,,,,
PASSERIFORMES,FORMICARIIDAE,Dysithamnus,xanthopterus,2041,,,,,,,,,,,,,,,,,,,,,,,,,XR,,,
PASSERIFORMES,FORMICARIIDAE,Thamnomanes,ardesiacus,2042,,,,,,,,,,,,,,,,X,X,,X,X,X,X,X,X,X,,,
PASSERIFORMES,FORMICARIIDAE,Thamnomanes,caesius,2043,,,,,,,,,,,,,,,,X,X,,X,X,X,X,X,X,X,,,
PASSERIFORMES,FORMICARIIDAE,Thamnomanes,occidentalis,2044,,,,,,,,,,,,,,,,X,,,,,,X,,,,,,
PASSERIFORMES,FORMICARIIDAE,Thamnomanes,(plumbeus) leucostictus,2045,,,,,,,,,,,,,,,,X,X,,,,,X,X,,,,,
PASSERIFORMES,FORMICARIIDAE,Thamnomanes,(plumbeus) plumbeus,2046,,,,,,,,,,,,,,,,,,,,,,,,,XR,,,
PASSERIFORMES,FORMICARIIDAE,Thamnomanes,saturninus,2047,,,,,,,,,,,,,,,,,,,,,,,X,X,X,,,
PASSERIFORMES,FORMICARIIDAE,Thamnomanes,schistogynus,2048,,,,,,,,,,,,,,,,,,,,,,,X,X,X
PASSERIFORMES,FORMICARIIDAE,Myrmotherula,ambigua,2049,,,,,,,,,,,,,,,,X,X,,,,,,,,X
PASSERIFORMES,FORMICARIIDAE,Myrmotherula,assimilis,2050,,,,,,,,,,,,,,,,SX,,,,,,,X,X,X
PASSERIFORMES,FORMICARIIDAE,Myrmotherula,axillaris,2051,,,,,,,,X,,,,X,X,X,X,X,X,X,X,X,X,X,X,X,X
PASSERIFORMES,FORMICARIIDAE,Myrmotherula,behni,2052,,,,,,,,,,,,,,,,X,X,,X,,SX,,,,X
PASSERIFORMES,FORMICARIIDAE,Myrmotherula,(brachyura) brachyura,2053,,,,,,,,,,,,,,,,X,X,,X,X,X,X,X,X,X
PASSERIFORMES,FORMICARIIDAE,Myrmotherula,(brachyura) ignota,2054,,,,,,,,,,,,,,,X,X,,,,,,,,,
PASSERIFORMES,FORMICARIIDAE,Myrmotherula,cherriei,2055,,,,,,,,,,,,,,,,X,X,,,,,,,,X
PASSERIFORMES,FORMICARIIDAE,Myrmotherula,erythronotos,2056,,,,,,,,,,,,,,,,,,,,,,,,,XR
PASSERIFORMES,FORMICARIIDAE,Myrmotherula,erythrura,2057,,,,,,,,,,,,,,,,X,,,,,,X,X,,X
PASSERIFORMES,FORMICARIIDAE,Myrmotherula,fluminensis,2058,,,,,,,,,,,,,,,,,,,,,,,,,XR
PASSERIFORMES,FORMICARIIDAE,Myrmotherula,fulviventris,2059,,,,,,,,,,,,X,X,X,X,X,,,,,,X,,,
PASSERIFORMES,FORMICARIIDAE,Myrmotherula,grisea,2060,,,,,,,,,,,,,,,,,,,,,,,,XR,
PASSERIFORMES,FORMICARIIDAE,Myrmotherula,gularis,2061,,,,,,,,,,,,,,,,,,,,,,,,,XR
PASSERIFORMES,FORMICARIIDAE,Myrmotherula,guttata,2062,,,,,,,,,,,,,,,,,X,,X,X,X,,,,X
PASSERIFORMES,FORMICARIIDAE,Myrmotherula,gutturalis,2063,,,,,,,,,,,,,,,,,X,,X,X,X,,,,X
PASSERIFORMES,FORMICARIIDAE,Myrmotherula,(haematonota) haematonota,2064,,,,,,,,,,,,,,,,X,X,,,,,X,X,X,X
PASSERIFORMES,FORMICARIIDAE,Myrmotherula,(haematonota) spodionota,2065,,,,,,,,,,,,,,,,X,,,,,,X,X,,
PASSERIFORMES,FORMICARIIDAE,Myrmotherula,hauxwelli,2066,,,,,,,,,,,,,,,,X,,,,,,X,X,X,X
PASSERIFORMES,FORMICARIIDAE,Myrmotherula,iheringi,2067,,,,,,,,,,,,,,,,,,,,,,,X,,X
PASSERIFORMES,FORMICARIIDAE,Myrmotherula,klagesi,2068,,,,,,,,,,,,,,,,,,,,,,,,,XR
PASSERIFORMES,FORMICARIIDAE,Myrmotherula,leucophthalma,2069,,,,,,,,,,,,,,,,,,,,,,,X,X,X
PASSERIFORMES,FORMICARIIDAE,Myrmotherula,longicauda,2070,,,,,,,,,,,,,,,,X,,,,,,X,X,X,
PASSERIFORMES,FORMICARIIDAE,Myrmotherula,longipennis,2071,,,,,,,,,,,,,,,,X,X,,X,X,X,X,X,X,X
PASSERIFORMES,FORMICARIIDAE,Myrmotherula,menetriesii,2072,,,,,,,,,,,,,,,,X,X,,X,X,X,X,X,X,X
PASSERIFORMES,FORMICARIIDAE,Myrmotherula,minor,2073,,,,,,,,,,,,,,,,,,,,,,,,,XR
PASSERIFORMES,FORMICARIIDAE,Myrmotherula,obscura,2074,,,,,,,,,,,,,,,,X,,,,,,X,X,,X
PASSERIFORMES,FORMICARIIDAE,Myrmotherula,ornata,2075,,,,,,,,,,,,,,,,X,,,,,,X,X,X,X
PASSERIFORMES,FORMICARIIDAE,Myrmotherula,schisticolor,2076,,,,,,,,X,X,X,,X,X,X,X,X,X,,,,,X,X,,
PASSERIFORMES,FORMICARIIDAE,Myrmotherula,sclateri,2077,,,,,,,,,,,,,,,,,,,,,,,X,X,X
PASSERIFORMES,FORMICARIIDAE,Myrmotherula,sunensis,2078,,,,,,,,,,,,,,,,X,,,,,,X,X,,X
PASSERIFORMES,FORMICARIIDAE,Myrmotherula,surinamensis,2079,,,,,,,,,,,,,,,X,X,X,,X,X,X,X,X,X,X
PASSERIFORMES,FORMICARIIDAE,Myrmotherula,unicolor,2080,,,,,,,,,,,,,,,,,,,,,,,,,XR,,,
PASSERIFORMES,FORMICARIIDAE,Myrmotherula,urosticta,2081,,,,,,,,,,,,,,,,,,,,,,,,,XR,,,
PASSERIFORMES,FORMICARIIDAE,Dichrozona,cincta,2082,,,,,,,,,,,,,,,,X,X,,,,,X,X,X,X,,,
PASSERIFORMES,FORMICARIIDAE,Myrmorchilus,strigilatus,2083,,,,,,,,,,,,,,,,,,,,,,,,X,X,X,,X
PASSERIFORMES,FORMICARIIDAE,Herpsilochmus,atricapillus,2084,,,,,,,,,,,,,,,,,,,,,,,,X,X,X,,X
PASSERIFORMES,FORMICARIIDAE,Herpsilochmus,axillaris,2085,,,,,,,,,,,,,,,,X,,,,,,X,X,,,,,
PASSERIFORMES,FORMICARIIDAE,Herpsilochmus,dorsimaculatus,2086,,,,,,,,,,,,,,,,X,X,,,,,,,,X,,,
PASSERIFORMES,FORMICARIIDAE,Herpsilochmus,longirostris,2087,,,,,,,,,,,,,,,,,,,,,,,,X,X,,,
PASSERIFORMES,FORMICARIIDAE,Herpsilochmus,motacilloides,2088,,,,,,,,,,,,,,,,,,,,,,,XR,,,,,
PASSERIFORMES,FORMICARIIDAE,Herpsilochmus,parkeri,2089,,,,,,,,,,,,,,,,,,,,,,,XR,,,,,
PASSERIFORMES,FORMICARIIDAE,Herpsilochmus,pectoralis,2090,,,,,,,,,,,,,,,,,,,,,,,,,XR,,,
PASSERIFORMES,FORMICARIIDAE,Herpsilochmus,pileatus,2091,,,,,,,,,,,,,,,,,,,,,,,,,XR,,,
PASSERIFORMES,FORMICARIIDAE,Herpsilochmus,roraimae,2092,,,,,,,,,,,,,,,,,X,,X,,,,,,X,,,
PASSERIFORMES,FORMICARIIDAE,Herpsilochmus,rufimarginatus,2093,,,,,,,,,,,,,,,X,X,X,,,SX,,X,X,X,X,X,,X
PASSERIFORMES,FORMICARIIDAE,Herpsilochmus,stictocephalus,2094,,,,,,,,,,,,,,,,,X,,X,X,X,,,,X,,,
PASSERIFORMES,FORMICARIIDAE,Herpsilochmus,(sticturus) dugandi,2095,,,,,,,,,,,,,,,,X,,,,,,X,X,,,,,
PASSERIFORMES,FORMICARIIDAE,Herpsilochmus,(sticturus) sticturus,2096,,,,,,,,,,,,,,,,,X,,X,X,X,,,,X,,,
PASSERIFORMES,FORMICARIIDAE,Microrhopias,quixensis,2097,,,,,,,,X,X,X,,X,X,X,X,X,,,X,X,X,X,X,X,X,,,
PASSERIFORMES,FORMICARIIDAE,Formicivora,grisea,2098,,,,,,,,,,,,,,,X,X,X,X,X,X,X,,,X,X,,,
PASSERIFORMES,FORMICARIIDAE,Formicivora,iheringi,2099,,,,,,,,,,,,,,,,,,,,,,,,,XR,,,
PASSERIFORMES,FORMICARIIDAE,Formicivora,melanogaster,2100,,,,,,,,,,,,,,,,,,,,,,,,X,X,X,,
PASSERIFORMES,FORMICARIIDAE,Formicivora,rufa,2101,,,,,,,,,,,,,,,,,,,,X,,,X,X,X,X,,
PASSERIFORMES,FORMICARIIDAE,Formicivora,(serrana) littoralis,2102,,,,,,,,,,,,,,,,,,,,,,,,,XR,,,
PASSERIFORMES,FORMICARIIDAE,Formicivora,(serrana) serrana,2103,,,,,,,,,,,,,,,,,,,,,,,,,XR,,,
PASSERIFORMES,FORMICARIIDAE,Drymophila,caudata,2104,,,,,,,,,,,,,,,,X,X,,,,,X,X,X,,,,
PASSERIFORMES,FORMICARIIDAE,Drymophila,(devillei) devillei,2105,,,,,,,,,,,,,,,,X,,,,,,X,X,X,X,,,
PASSERIFORMES,FORMICARIIDAE,Drymophila,(devillei) subochracea,2106,,,,,,,,,,,,,,,,,,,,,,,,X,X,,,
PASSERIFORMES,FORMICARIIDAE,Drymophila,ferruginea,2107,,,,,,,,,,,,,,,,,,,,,,,,,XR,,,
PASSERIFORMES,FORMICARIIDAE,Drymophila,genei,2108,,,,,,,,,,,,,,,,,,,,,,,,,XR,,,
PASSERIFORMES,FORMICARIIDAE,Drymophila,malura,2109,,,,,,,,,,,,,,,,,,,,,,,,,X,X,,X
PASSERIFORMES,FORMICARIIDAE,Drymophila,ochropyga,2110,,,,,,,,,,,,,,,,,,,,,,,,,XR,,,
PASSERIFORMES,FORMICARIIDAE,Drymophila,rubricollis,2111,,,,,,,,,,,,,,,,,,,,,,,,,X,X,,X
PASSERIFORMES,FORMICARIIDAE,Drymophila,squamata,2112,,,,,,,,,,,,,,,,,,,,,,,,,XR,,,
PASSERIFORMES,FORMICARIIDAE,Terenura,callinota,2113,,,,,,,,,,,,,,X,X,X,X,,X,X,,X,X,,,,,
PASSERIFORMES,FORMICARIIDAE,Terenura,humeralis,2114,,,,,,,,,,,,,,,,,,,,,,X,X,X,X,,,
PASSERIFORMES,FORMICARIIDAE,Terenura,maculata,2115,,,,,,,,,,,,,,,,,,,,,,,,,X,X,,X
PASSERIFORMES,FORMICARIIDAE,Terenura,sharpei,2116,,,,,,,,,,,,,,,,,,,,,,,X,X,,,,
PASSERIFORMES,FORMICARIIDAE,Terenura,sicki,2117,,,,,,,,,,,,,,,,,,,,,,,,,XR,,,
PASSERIFORMES,FORMICARIIDAE,Terenura,spodioptila,2118,,,,,,,,,,,,,,,,X,X,,X,X,X,SX,X,,X,,,
PASSERIFORMES,FORMICARIIDAE,Cercomacra,brasiliana,2119,,,,,,,,,,,,,,,,,,,,,,,,,XR,,,
PASSERIFORMES,FORMICARIIDAE,Cercomacra,carbonaria,2120,,,,,,,,,,,,,,,,,,,SX,,,,,,X,,,
PASSERIFORMES,FORMICARIIDAE,Cercomacra,cinerascens,2121,,,,,,,,,,,,,,,,X,X,,X,X,X,X,X,X,X,,,
PASSERIFORMES,FORMICARIIDAE,Cercomacra,ferdinandi,2122,,,,,,,,,,,,,,,,,,,,,,,,,XR,,,
PASSERIFORMES,FORMICARIIDAE,Cercomacra,laeta,2123,,,,,,,,,,,,,,,,,,,,,,,,,XR,,,
PASSERIFORMES,FORMICARIIDAE,Cercomacra,manu,2124,,,,,,,,,,,,,,,,,,,,,,,X,X,X,,,
PASSERIFORMES,FORMICARIIDAE,Cercomacra,melanaria,2125,,,,,,,,,,,,,,,,,,,,,,,,X,X,X,,
PASSERIFORMES,FORMICARIIDAE,Cercomacra,nigrescens,2126,,,,,,,,,,,,,,,,X,,,,X,X,X,X,X,X,,,
PASSERIFORMES,FORMICARIIDAE,Cercomacra,nigricans,2127,,,,,,,,,,,,,,,X,X,X,,,,,X,,,,,,
PASSERIFORMES,FORMICARIIDAE,Cercomacra,serva,2128,,,,,,,,,,,,,,,,X,,,,,,X,X,X,X,,,
PASSERIFORMES,FORMICARIIDAE,Cercomacra,tyrannina,2129,,,,,,,,X,X,X,,X,X,X,X,X,X,,X,X,X,X,,,X,,,
PASSERIFORMES,FORMICARIIDAE,Sipia,berlepschi,2130,,,,,,,,,,,,,,,,X,,,,,,X,,,,,,
PASSERIFORMES,FORMICARIIDAE,Sipia,nigricauda,2131,,,,,,,,,,,,,,,,X,,,,,,X,,,,,,
PASSERIFORMES,FORMICARIIDAE,Pyriglena,atra,2132,,,,,,,,,,,,,,,,,,,,,,,,,XR,,,
PASSERIFORMES,FORMICARIIDAE,Pyriglena,(leuconota) castanoptera,2133,,,,,,,,,,,,,,,,X,,,,,,X,X,,,,,
PASSERIFORMES,FORMICARIIDAE,Pyriglena,(leuconota) leuconota,2134,,,,,,,,,,,,,,,,,,,,,,,X,X,X,X,,
PASSERIFORMES,FORMICARIIDAE,Pyriglena,(leuconota) pacifica,2135,,,,,,,,,,,,,,,,,,,,,,X,X,,,,,
PASSERIFORMES,FORMICARIIDAE,Pyriglena,leucoptera,2136,,,,,,,,,,,,,,,,,,,,,,,,,X,X,,X
PASSERIFORMES,FORMICARIIDAE,Rhopornis,ardesiaca,2137,,,,,,,,,,,,,,,,,,,,,,,,,XR,,,
PASSERIFORMES,FORMICARIIDAE,Myrmoborus,leucophrys,2138,,,,,,,,,,,,,,,,X,X,,X,X,X,X,X,X,X,,,
PASSERIFORMES,FORMICARIIDAE,Myrmoborus,lugubris,2139,,,,,,,,,,,,,,,,X,,,,,,X,X,,X,,,
PASSERIFORMES,FORMICARIIDAE,Myrmoborus,melanurus,2140,,,,,,,,,,,,,,,,,,,,,,,XR,,,,,
PASSERIFORMES,FORMICARIIDAE,Myrmoborus,myotherinus,2141,,,,,,,,,,,,,,,,X,X,,,,,X,X,X,X,,,
PASSERIFORMES,FORMICARIIDAE,Hypocnemis,cantator,2142,,,,,,,,,,,,,,,,X,X,,X,X,X,X,X,X,X,,,
PASSERIFORMES,FORMICARIIDAE,Hypocnemis,hypoxantha,2143,,,,,,,,,,,,,,,,X,,,,,,X,X,,X,,,
PASSERIFORMES,FORMICARIIDAE,Hypocnemoides,maculicauda,2144,,,,,,,,,,,,,,,,,,,,,,,X,X,X
PASSERIFORMES,FORMICARIIDAE,Hypocnemoides,melanopogon,2145,,,,,,,,,,,,,,,,X,X,,X,X,X,X,X,,X
PASSERIFORMES,FORMICARIIDAE,Myrmochanes,hemileucus,2146,,,,,,,,,,,,,,,,X,,,,,,X,X,X,X
PASSERIFORMES,FORMICARIIDAE,Gymnocichla,nudiceps,2147,,,,,,,,,X,X,,X,X,X,X,X,,,,,,,,,
PASSERIFORMES,FORMICARIIDAE,Sclateria,naevia,2148,,,,,,,,,,,,,,,,X,X,X,X,X,X,X,X,X,X
PASSERIFORMES,FORMICARIIDAE,Percnostola,caurensis,2149,,,,,,,,,,,,,,,,,X,,,,,,,,X
PASSERIFORMES,FORMICARIIDAE,Percnostola,leucostigma,2150,,,,,,,,,,,,,,,,X,X,,X,X,X,X,X,X,X
PASSERIFORMES,FORMICARIIDAE,Percnostola,lophotes,2151,,,,,,,,,,,,,,,,,,,,,,,X,X,
PASSERIFORMES,FORMICARIIDAE,Percnostola,rufifrons,2152,,,,,,,,,,,,,,,,X,X,,X,X,X,,X,,X
PASSERIFORMES,FORMICARIIDAE,Percnostola,schistacea,2153,,,,,,,,,,,,,,,,X,,,,,,X,X,,X
PASSERIFORMES,FORMICARIIDAE,Myrmeciza,atrothorax,2154,,,,,,,,,,,,,,,,X,X,,X,X,X,X,X,X,X
PASSERIFORMES,FORMICARIIDAE,Myrmeciza,disjuncta,2155,,,,,,,,,,,,,,,,X,X,,,,,,,,
PASSERIFORMES,FORMICARIIDAE,Myrmeciza,exsul,2156,,,,,,,,,,,,,X,X,X,X,,,,,,X,,,
PASSERIFORMES,FORMICARIIDAE,Myrmeciza,ferruginea,2157,,,,,,,,,,,,,,,,,X,,X,X,X,,,,X
PASSERIFORMES,FORMICARIIDAE,Myrmeciza,fortis,2158,,,,,,,,,,,,,,,,X,,,,,,X,X,X,X
PASSERIFORMES,FORMICARIIDAE,Myrmeciza,goeldii,2159,,,,,,,,,,,,,,,,,,,,,,,X,X,X
