ORDER,FAMILY,GENUS,SPECIES,NUMB,BAHA,CUBA,HISP,JAMA,PUER,LANT,NANT,MEXI,GUAT,BELI,ELSA,HOND,NICA,COST,PANA,COLO,VENE,TRIN,GUYA,SURI,FREN,ECUA,PERU,BOLI,BRAZ,PARG,URUG,ARGN,CHIL
PODICIPEDIFORMES,PODICIPEDIDAE,Podiceps,(nigricollis) nigricollis,79,,,,,,,,X,XN,,XN,,,V,,,,,,,,,,,,,,,
PODICIPEDIFORMES,PODICIPEDIDAE,Podiceps,occipitalis,80,,,,,,,,,,,,,,,,X,,,,,,X,X,X,,,,X,X
PODICIPEDIFORMES,PODICIPEDIDAE,Podiceps,taczanowskii,81,,,,,,,,,,,,,,,,,,,,,,,XR,,,,,,
PODICIPEDIFORMES,PODICIPEDIDAE,Aechmophorus,clarkii,82,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,
PODICIPEDIFORMES,PODICIPEDIDAE,Aechmophorus,occidentalis,83,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,
PROCELLARIIFORMES,DIOMEDEIDAE,Diomedea,albatrus,84,,,,,,,,V,,,,,,,,,,,,,,,,,,,,,
PROCELLARIIFORMES,DIOMEDEIDAE,Diomedea,bulleri,85,,,,,,,,,,,,,,,,,,,,,,,XN,,,,,,XN
PROCELLARIIFORMES,DIOMEDEIDAE,Diomedea,cauta,86,,,,,,,,,,,,,,,,,,,,,,,XN,,,,,XN,XN
PROCELLARIIFORMES,DIOMEDEIDAE,Diomedea,chlororhynchos,87,,,,,,,,,,,,,,,,,,,,,,,,,XN,,XN,XN,
PROCELLARIIFORMES,DIOMEDEIDAE,Diomedea,chrysostoma,88,,,,,,,,,,,,,,,,,,,,,,,XN,,V,,,XN,X
PROCELLARIIFORMES,DIOMEDEIDAE,Diomedea,epomophora,89,,,,,,,,,,,,,,,,,,,,,,,SV,,V,,XN,XN,XN
PROCELLARIIFORMES,DIOMEDEIDAE,Diomedea,exulans,90,,,,,,,,,,,,,,,,,,,,,,,,,V,,XN,XN,XN
PROCELLARIIFORMES,DIOMEDEIDAE,Diomedea,immutabilis,91,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,
PROCELLARIIFORMES,DIOMEDEIDAE,Diomedea,irrorata,92,,,,,,,,,,,,,,,SV,XN,,,,,,X,XN,,,,,,
PROCELLARIIFORMES,DIOMEDEIDAE,Diomedea,melanophris,93,,,,,,V,,,,,,,,,,,,,,,,XN,XN,,XN,,XN,X,X
PROCELLARIIFORMES,DIOMEDEIDAE,Diomedea,nigripes,94,,,,,,,,XN,,,,,,,,,,,,,,SV,,,,,,,
PROCELLARIIFORMES,DIOMEDEIDAE,Phoebetria,fusca,95,,,,,,,,,,,,,,,,,,,,,,,,,V,,,V,V
PROCELLARIIFORMES,DIOMEDEIDAE,Phoebetria,palpebrata,96,,,,,,,,,,,,,,,,,,,,,,,,,XN,,,XN,XN
PROCELLARIIFORMES,PROCELLARIIDAE,Macronectes,giganteus,97,,,,,,,,,,,,,,,,,,,,,,SV,XN,,XN,,XN,XN,X
PROCELLARIIFORMES,PROCELLARIIDAE,Macronectes,halli,98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,V
PROCELLARIIFORMES,PROCELLARIIDAE,Fulmarus,glacialis,99,,,,,SV,,,XN,,,,,,,,,,,,,,,,,,,,,
PROCELLARIIFORMES,PROCELLARIIDAE,Fulmarus,glacialoides,100,,,,,,,,,,,,,,,,,,,,,,V,XN,,XN,,XN,XN,XN
PROCELLARIIFORMES,PROCELLARIIDAE,Thalassoica,antarctica,101,,,,,,,,,,,,,,,,,,,,,,,,,XN,,,XN,XN
PROCELLARIIFORMES,PROCELLARIIDAE,Daption,capense,102,,,,,,,,,,,,,,,,V,,,,,,XN,XN,,XN,,XN,XN,XN
PROCELLARIIFORMES,PROCELLARIIDAE,Pterodroma,arminjoniana,103,,,,,V,,,,,,,,,,,,,,,,,,,,X,,,,
PROCELLARIIFORMES,PROCELLARIIDAE,Pterodroma,(cooki) cooki,104,,,,,,,,XN,,,,,,,,,,,,,,,XN,,,,,,XN
PROCELLARIIFORMES,PROCELLARIIDAE,Pterodroma,(cooki) defilippiana,105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XR
PROCELLARIIFORMES,PROCELLARIIDAE,Pterodroma,externa,106,,,,,,,,SN,,,,,,,,,,,,,,,,,,,,XN,XR
PROCELLARIIFORMES,PROCELLARIIDAE,Pterodroma,hasitata,107,XN,X?,X,XF,XN,X,SN,,,,,,,SV,,XN,,,,,,,,,V,,,,
PROCELLARIIFORMES,PROCELLARIIDAE,Pterodroma,incerta,108,,,,,,,,,,,,,,,,,,,,,,,,,V,,,XN,
PROCELLARIIFORMES,PROCELLARIIDAE,Pterodroma,inexpectata,109,,,,,,,,,,,,,,,,,,,,,,V,,,,,,,
PROCELLARIIFORMES,PROCELLARIIDAE,Pterodroma,lessoni,110,,,,,,,,,,,,,,,,,,,,,,,,,V,,,XN,XN
PROCELLARIIFORMES,PROCELLARIIDAE,Pterodroma,(longirostris) longirostris,111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XR
PROCELLARIIFORMES,PROCELLARIIDAE,Pterodroma,macroptera,112,,,,,,,,,,,,,,,,,,,,,,,,,V,,,XN,
PROCELLARIIFORMES,PROCELLARIIDAE,Pterodroma,mollis,113,,,,,,,,,,,,,,,,,,,,,,,,,SV,,,XN,
PROCELLARIIFORMES,PROCELLARIIDAE,Pterodroma,neglecta,114,,,,,,,,XN,,,,,,,,,,,,,,,,,,,,,X
PROCELLARIIFORMES,PROCELLARIIDAE,Pterodroma,phaeopygia,115,,,,,,,,SN,,,,,,XN,SV,XN,,,,,,X,XN,,,,,,
PROCELLARIIFORMES,PROCELLARIIDAE,Pterodroma,rostrata,116,,,,,,,,SN,,,,,,,,,,,,,,,,,,,,,
PROCELLARIIFORMES,PROCELLARIIDAE,Halobaena,caerulea,117,,,,,,,,,,,,,,,,,,,,,,,,,V,,XN,XN,X
PROCELLARIIFORMES,PROCELLARIIDAE,Pachyptila,belcheri,118,,,,,,,,,,,,,,,,,,,,,,,XN,,XN,,XN,X,XN
PROCELLARIIFORMES,PROCELLARIIDAE,Pachyptila,desolata,119,,,,,,,,,,,,,,,,,,,,,,V,XN,,XN,,XN,XN,XN
PROCELLARIIFORMES,PROCELLARIIDAE,Pachyptila,salvini,120,,,,,,,,,,,,,,,,,,,,,,,XN,,,,,,
PROCELLARIIFORMES,PROCELLARIIDAE,Pachyptila,turtur,121,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,XN
PROCELLARIIFORMES,PROCELLARIIDAE,Pachyptila,vittata,122,,,,,,,,,,,,,,,,,,,,,,,XN,,V,,,,
PROCELLARIIFORMES,PROCELLARIIDAE,Bulweria,bulwerii,123,,,,,,,SV,,,,,,,,,,,V,,,SV,,,,,,,,
PROCELLARIIFORMES,PROCELLARIIDAE,Procellaria,aequinoctialis,124,,,,,,,,,,,,,,,,,,,,,,,XN,,XN,,XN,XN,XN
PROCELLARIIFORMES,PROCELLARIIDAE,Procellaria,cinerea,125,,,,,,,,,,,,,,,,,,,,,,,XN,,V,,XN,V,XN
PROCELLARIIFORMES,PROCELLARIIDAE,Procellaria,parkinsoni,126,,,,,,,,XN,XN,,,?,?,XN,SN,,,,,,,XN,XN,,,,,,
PROCELLARIIFORMES,PROCELLARIIDAE,Procellaria,westlandica,127,,,,,,,,,,,,,,,,,,,,,,,,,,,,V,XN
PROCELLARIIFORMES,PROCELLARIIDAE,Calonectris,diomedea,128,XN,V,,,,XN,,SV,,,,,,,,,,XN,XN,,SN,,,,XN,,XN,,
PROCELLARIIFORMES,PROCELLARIIDAE,Puffinus,assimilis,129,,,,XN,V,,,,,,,,,,,,,,,,SV,,SV,,V,,XN,XN,X?
PROCELLARIIFORMES,PROCELLARIIDAE,Puffinus,auricularis,130,,,,,,,,XR,,,,,,,SV,,,,,,,,,,,,,,
PROCELLARIIFORMES,PROCELLARIIDAE,Puffinus,bulleri,131,,,,,,,,SN,,,,,,,,,,,,,,?,XN,,,,,,XN
PROCELLARIIFORMES,PROCELLARIIDAE,Puffinus,carneipes,132,,,,,,,,SN,,,,,,,,,,,,,,,,,,,,,XN
PROCELLARIIFORMES,PROCELLARIIDAE,Puffinus,creatopus,133,,,,,,,,XN,,,,,,SN,,SV,,,,,,XN,XN,,,,,,X
PROCELLARIIFORMES,PROCELLARIIDAE,Puffinus,gravis,134,XN,,,,V,XN,V,V,,,,,,,,,XN,XN,XN,XN,XN,,,,XN,,XN,X,XN
PROCELLARIIFORMES,PROCELLARIIDAE,Puffinus,griseus,135,XN,XN,,,V,V,,XN,XN,XN,,,XN,XN,XN,XN,,,,,,XN,XN,,XN,,XN,X,X
PROCELLARIIFORMES,PROCELLARIIDAE,Puffinus,lherminieri,136,X,XN,SN,?,X,X,X?,XN,XN,,,?,XN,XN,XN,X,X,X,?,,,X,,,,,,,
PROCELLARIIFORMES,PROCELLARIIDAE,Puffinus,nativitatis,137,,,,,,,,XN,,,,,,,,,,,,,,,,,,,,,XN
PROCELLARIIFORMES,PROCELLARIIDAE,Puffinus,opisthomelas,138,,,,,,,,XR,,,,,,,,,,,,,,,,,,,,,
PROCELLARIIFORMES,PROCELLARIIDAE,Puffinus,pacificus,139,,,,,,,,X,XN,,,?,XN,XN,XN,XN,,,,,,XN,,,,,,,
PROCELLARIIFORMES,PROCELLARIIDAE,Puffinus,puffinus,140,,,,,V,,,,,,,,,,,,?,XN,,,XN,,,,XN,,XN,XN,XN
PROCELLARIIFORMES,PROCELLARIIDAE,Puffinus,tenuirostris,141,,,,,,,,XN,,,,,,SV,,,,,,,,,,,,,,,
PROCELLARIIFORMES,HYDROBATIDAE,Oceanites,gracilis,142,,,,,,,,,,,,,,,,XN,,,,,,XN,X,,,,,,X
PROCELLARIIFORMES,HYDROBATIDAE,Oceanites,oceanicus,143,,XN,,?,XN,,XN, SN,XN,,,,,XN,XN,,XN,SV,XN,XN,XN,XN,XN,,XN,,XN,X,X
PROCELLARIIFORMES,HYDROBATIDAE,Garrodia,nereis,144,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,XN
PROCELLARIIFORMES,HYDROBATIDAE,Pelagodroma,marina,145,,,,,,,,,,,,,,V,,,,,,,,XN,XN,,,,XN,XN,
PROCELLARIIFORMES,HYDROBATIDAE,Fregetta,grallaria,146,,,,,,,,,,,,,,,,,,,,,,XN,,,SN,,,XN,X
PROCELLARIIFORMES,HYDROBATIDAE,Fregetta,tropica,147,,,,,,,,,,,,,,,,,,,,,,,XN,,SV,,XN,XN,XN
PROCELLARIIFORMES,HYDROBATIDAE,Halocyptena,microsoma,148,,,,,,,,X,,,,,,XN,XN,XN,,,,,,XN,XN,,,,,,
PROCELLARIIFORMES,HYDROBATIDAE,Oceanodroma,castro,149,,V,,,,,,V,,,,,,XN,,SV,,,,,,X,,,,,,,
PROCELLARIIFORMES,HYDROBATIDAE,Oceanodroma,homochroa,150,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,
PROCELLARIIFORMES,HYDROBATIDAE,Oceanodroma,hornbyi,151,,,,,,,,,,,,,,,,XN,,,,,,XN,X,,,,,,X
PROCELLARIIFORMES,HYDROBATIDAE,Oceanodroma,leucorhoa,152,XN,XN,V,,XN,SV,V,X,XN,,,,,XN,,,XN,XN,XN,XN,XN,XN,,,XN,,,,
PROCELLARIIFORMES,HYDROBATIDAE,Oceanodroma,macrodactyla,153,,,,,,,,+,,,,,,,,,,,,,,,,,,,,,
PROCELLARIIFORMES,HYDROBATIDAE,Oceanodroma,markhami,154,,,,,,,,,,,,,,V,,SV,,,,,,XN,X,,,,,,XN
PROCELLARIIFORMES,HYDROBATIDAE,Oceanodroma,melania,155,,,,,,,,X,SN,,,,XN,XN,XN,XN,,,,,,XN,XN,,,,,,
PROCELLARIIFORMES,HYDROBATIDAE,Oceanodroma,tethys,156,,,,,,,,XN,XN,,,,,XN,XN,XN,,,,,,X,X,,,,,,XN
PROCELLARIIFORMES,PELECANOIDIDAE,Pelecanoides,garnotii,157,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,X
PROCELLARIIFORMES,PELECANOIDIDAE,Pelecanoides,georgicus,158,,,,,,,,,,,,,,,,,,,,,,,,,,,,V,
PROCELLARIIFORMES,PELECANOIDIDAE,Pelecanoides,magellani,159,,,,,,,,,,,,,,,,,,,,,,,,,V,,,X,X
PROCELLARIIFORMES,PELECANOIDIDAE,Pelecanoides,urinatrix,160,,,,,,,,,,,,,,,,,,,,,,,,,,,V,X,X
PELECANIFORMES,PHAETHONTIDAE,Phaethon,aethereus,161,?,V,?,?,X,X,XN,X,,,V,,,X,X,X,X,X,,,XN,X,SV,,X,,,,XN
PELECANIFORMES,PHAETHONTIDAE,Phaethon,lepturus,162,X,X,X,X,X,X,SV,V,SV,V,,,,,V,V,,SV,,,,,,,X,,,,V
PELECANIFORMES,PHAETHONTIDAE,Phaethon,rubricauda,163,,,,,,,,X?,,,,,,,,,,,,,,,,,,,,,V
