GENUS,SPECIES,ORDER,FAMILY,NUMB,SNST,REL,CP,RP,MIN,QMIN,MAX,QMAX,NHAB,NZOO,HAB1,HAB2,HAB3,HAB4,HAB5,HAB6,HAB7,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,N1,N2,N3,N4,N5,N6,N7,N8,N9,N10,N11,N12,N13,N14,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,GAN,LAN,BSR,MPL,PAS,MAH,GCS,CDH,CHO,EPC,STP,NAN,CAN,SAN,NSA,TEP,AMN,AMS,CSA,ATL,PAM,PAT
Muscisaxicola,macloviana,PASSERIFORMES,TYRANNIDAE,2585,L,F,4,3,0,,1200,,2,5,N13,N1,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,Y,,,Y,,,,,Y,,Y,Y
Knipolegus,hudsoni,PASSERIFORMES,TYRANNIDAE,2594,M?,F,4,2,0,,800,+,1,1,N1,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,
Satrapa,icterophrys,PASSERIFORMES,TYRANNIDAE,2612,L,F,4,3,0,,2000,,4,6,N13,N14,F3,F8,,,,,,Y,,,,,Y,,,,,,,,,,,,,,,,,,,,Y,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,Y,Y,Y,Y,Y,
Attila,phoenicurus,PASSERIFORMES,TYRANNIDAE,2622,H,U/P,3,1,0,,800,,2,4,F1,F4,,,,,,Y,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Q,Y,Y,Y,,
Casiornis,rufa,PASSERIFORMES,TYRANNIDAE,2627,M,F,4,3,0,,800,,2,3,F7,F8,,,,,,,,,,,,Y,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,Y,Y,,,
Myiarchus,swainsoni,PASSERIFORMES,TYRANNIDAE,2650,L,F,4,3,0,,1000,,4,4,F1E,F8,F15,F7,,,,E,,,,,,Y,Y,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,Y,Y,Y,,,
Myiodynastes,(maculatus) solitarius,PASSERIFORMES,TYRANNIDAE,2674.01,L,,4,3,0,,1200,,3,4,F1E,F7,F15,,,,,E,,,,,,Y,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,Y,Y,Y,,,
Empidonomus,aurantioatrocristatus,PASSERIFORMES,TYRANNIDAE,2676,L,F,4,3,0,,800,,4,3,F1E,F7,F8,F15,,,,E,,,,,,Y,Y,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,Y,Y,,,
Tyrannus,savana,PASSERIFORMES,TYRANNIDAE,2688,L,C,4,3,0,,1600,,5,7,N14,N6,N13,N5,F15,,,,,,,,,,,,,,,,,Y,,,,,Y,Y,,,,,,,Y,Y,,,,,,,,,,,,,,Y,,,,,Y,,,,,,,,Y,,Y,Y,Y,Q,,
Tachycineta,leucopyga,PASSERIFORMES,HIRUNDINIDAE,2844,L,F,4,2,0,,1500,,3,4,N7,N13,N14,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,Y,Y,,,,,,,,,,,,,,,,,,,,,,,Y,,,Y,,,,,,,Y,Y
